name,url,gridsize,colour,divclasses
Compass,https://mhs.vic.jdlf.com.au,1-1,green,
MHS Connect,http://connect.mhs.vic.edu.au/,1-1,green,
MHS Portal,http://domain.mhs.vic.edu.au/,1-1,green,
,,,,
Emails,emails,1-2,lightblue,
Faculties,faculties,1-2,lightblue,
,,,,
Certificate,http://www.localnetwork.zone/noauth/cacert,1-2,darkblue,
Web Quota,https://auth.localnetwork.zone:60091/statspopup,1-2,darkblue,
Webmail,https://webmail.netspace.net.au/,1-1,blue,
Calendar,http://goo.gl/GNof8T,1-2,blue,removed
,,,,
